institution,date,file_path,gross_loans,credit_impairments,npl_ratio
HSBC BANK PLC - JOHANNESBURG BRANCH,2023-02-01,test_data/BA900_2023-02-01_zipcsv/535761.csv,11230.0,128786.0,1146.8032056990205
INVESTEC BANK LTD,2023-02-01,test_data/BA900_2023-02-01_zipcsv/25054.csv,2634155.0,3144683.0,119.38109184918883
JPMORGAN CHASE BANK (JOHANNESBURG BRANCH),2023-02-01,test_data/BA900_2023-02-01_zipcsv/331899.csv,4.0,10804.0,270100.0
NEDBANK LTD,2023-02-01,test_data/BA900_2023-02-01_zipcsv/416088.csv,18205494.0,26497751.0,145.5481021278522
STANDARD CHARTERED BANK,2023-02-01,test_data/BA900_2023-02-01_zipcsv/535788.csv,329497.0,877992.0,266.4643380668109
THE STANDARD BANK OF S A LTD,2023-02-01,test_data/BA900_2023-02-01_zipcsv/416061.csv,43381306.0,45898566.0,105.80263766148488
ABSA BANK LTD,2023-03-01,test_data/BA900_2023-03-01_zipcsv/34118.csv,40828293.0,35251561.0,86.3410111218708
AFRICAN BANK LIMITED (N),2023-03-01,test_data/BA900_2023-03-01_zipcsv/160571.csv,5782427.0,12056531.0,208.50295213411255
BANK OF CHINA LTD JHB BRANCH (T/A BANK OF CHINA JHB BRANCH),2023-03-01,test_data/BA900_2023-03-01_zipcsv/337889.csv,2311382.0,461824.0,19.980427294146967
BNP PARIBAS SOUTH AFRICA BRANCH,2023-03-01,test_data/BA900_2023-03-01_zipcsv/478636.csv,23.0,24119.0,104865.21739130435
CAPITEC BANK,2023-03-01,test_data/BA900_2023-03-01_zipcsv/333107.csv,7904134.0,19966190.0,252.6043966359882
CITIBANK N.A,2023-03-01,test_data/BA900_2023-03-01_zipcsv/165565.csv,729898.64,111886.66,15.329068156641585
DISCOVERY BANK LIMITED,2023-03-01,test_data/BA900_2023-03-01_zipcsv/165271.csv,4880833.0,439114.0,8.996701997384463
FIRSTRAND BANK LIMITED,2023-03-01,test_data/BA900_2023-03-01_zipcsv/416053.csv,54330876.704399996,34469833.4794,63.44427988331809
GBS MUTUAL BANK,2023-03-01,test_data/BA900_2023-03-01_zipcsv/418072.csv,8.0,10854.0,135675.0
HSBC BANK PLC - JOHANNESBURG BRANCH,2023-03-01,test_data/BA900_2023-03-01_zipcsv/535761.csv,15679.0,111352.0,710.1983544868933
INVESTEC BANK LTD,2023-03-01,test_data/BA900_2023-03-01_zipcsv/25054.csv,2034026.0,3242490.0,159.41241655711383
JPMORGAN CHASE BANK (JOHANNESBURG BRANCH),2023-03-01,test_data/BA900_2023-03-01_zipcsv/331899.csv,7.0,26168.0,373828.5714285714
NEDBANK LTD,2023-03-01,test_data/BA900_2023-03-01_zipcsv/416088.csv,18114994.0,26677071.0,147.26513848141488
STANDARD CHARTERED BANK,2023-03-01,test_data/BA900_2023-03-01_zipcsv/535788.csv,729523.0,837727.0,114.83215745082747
THE STANDARD BANK OF S A LTD,2023-03-01,test_data/BA900_2023-03-01_zipcsv/416061.csv,42647043.0,46773303.0,109.67537186575866
ABSA BANK LTD,2023-04-01,test_data/BA900_2023-04-01_zipcsv/34118.csv,41274448.0,36020033.0,87.26956929866148
ACCESS BANK (SOUTH AFRICA) LIMITED,2023-04-01,test_data/BA900_2023-04-01_zipcsv/416134.csv,242993.0,60599.0,24.938578477569312
AFRICAN BANK LIMITED (N),2023-04-01,test_data/BA900_2023-04-01_zipcsv/160571.csv,5864941.0,11803260.0,201.25112938050017
BANK OF CHINA LTD JHB BRANCH (T/A BANK OF CHINA JHB BRANCH),2023-04-01,test_data/BA900_2023-04-01_zipcsv/337889.csv,2407937.0,504369.0,20.94610448695294
CAPITEC BANK,2023-04-01,test_data/BA900_2023-04-01_zipcsv/333107.csv,8053512.0,20307968.0,252.1628824790973
CITIBANK N.A,2023-04-01,test_data/BA900_2023-04-01_zipcsv/165565.csv,139518.36,153907.33,110.31331646960301
DISCOVERY BANK LIMITED,2023-04-01,test_data/BA900_2023-04-01_zipcsv/165271.csv,5124931.0,450956.0,8.799259931499567
FIRSTRAND BANK LIMITED,2023-04-01,test_data/BA900_2023-04-01_zipcsv/416053.csv,51483370.0331,34342200.2163,66.70542389556182
GBS MUTUAL BANK,2023-04-01,test_data/BA900_2023-04-01_zipcsv/418072.csv,8.0,11266.0,140825.0
HSBC BANK PLC - JOHANNESBURG BRANCH,2023-04-01,test_data/BA900_2023-04-01_zipcsv/535761.csv,1515049.0,88358.0,5.832022594648754
INVESTEC BANK LTD,2023-04-01,test_data/BA900_2023-04-01_zipcsv/25054.csv,2053595.0,3246730.0,158.0998200716305
JPMORGAN CHASE BANK (JOHANNESBURG BRANCH),2023-04-01,test_data/BA900_2023-04-01_zipcsv/331899.csv,15.0,26168.0,174453.33333333334
NEDBANK LTD,2023-04-01,test_data/BA900_2023-04-01_zipcsv/416088.csv,18186535.0,27484272.0,151.12429058091607
STANDARD CHARTERED BANK,2023-04-01,test_data/BA900_2023-04-01_zipcsv/535788.csv,55461.0,851702.0,1535.6773228034115
THE STANDARD BANK OF S A LTD,2023-04-01,test_data/BA900_2023-04-01_zipcsv/416061.csv,42907429.0,47473864.0,110.64252766111902
ABSA BANK LTD,2023-05-01,test_data/BA900_2023-05-01_zipcsv/34118.csv,40784449.0,36744728.0,90.09494770911334
ACCESS BANK (SOUTH AFRICA) LIMITED,2023-05-01,test_data/BA900_2023-05-01_zipcsv/416134.csv,263521.0,59617.0,22.6232444473116
